eid,aid,mainshock,mag,lon,lat,depth
0,0,Birch_Bay_Uplift,6.888393971823891,-122.973765046,48.8426852838,9.89949495322
1,1,Birch_Bay_Uplift,5.37585430294,-122.863274936,48.6467538004,19.8312180954
2,2,Birch_Bay_Uplift,4.64222914377,-122.831496989,48.6952889033,18.2323089767
3,3,Birch_Bay_Uplift,4.83761224856,-123.177968213,48.7722188593,9.94347620199
4,4,Birch_Bay_Uplift,5.14718019481,-122.598936418,48.6036320656,7.1226642755
5,5,Birch_Bay_Uplift,4.70272730001,-123.265154333,49.0521032016,11.8302805985
6,6,Birch_Bay_Uplift,5.49497223469,-122.951872787,48.8786187276,15.8662632294
7,7,Birch_Bay_Uplift,4.52055987645,-122.688413019,48.9104011068,11.8811051321
8,8,Birch_Bay_Uplift,4.7963966187,-122.701054003,48.8757237191,11.730893813
9,9,Birch_Bay_Uplift,5.11131469607,-122.757333823,48.8839225817,17.4116867373
10,10,Birch_Bay_Uplift,5.46372075723,-123.218035171,48.915193482,9.78246046507
11,11,Birch_Bay_Uplift,5.66970477748,-123.302626276,49.0077435444,17.756714797
12,12,Birch_Bay_Uplift,4.87192764106,-122.752268132,48.9199953887,10.5088768152
13,13,Birch_Bay_Uplift,4.9451283662,-122.802105955,48.9151157047,9.25172969085
14,14,Birch_Bay_Uplift,4.749297885,-123.26113344,49.0363801708,11.2638385792
15,15,Birch_Bay_Uplift,4.62302084171,-122.829218978,48.6403471393,16.1991513388
16,16,Birch_Bay_Uplift,4.82719583071,-123.071079622,48.7747694358,6.01603244582
17,17,Birch_Bay_Uplift,4.832155452,-122.867355962,48.6548693224,7.14270745395
18,18,Birch_Bay_Uplift,5.26514502355,-122.598609004,48.7690867138,19.2231172106
19,19,Birch_Bay_Uplift,5.41386645634,-123.291749517,49.0016655293,6.8078660381
20,20,Birch_Bay_Uplift,4.92133382644,-123.565016492,48.8849899559,13.0836370869
21,21,Birch_Bay_Uplift,4.65476692716,-122.634659652,48.8191513551,13.2690314666
22,22,Birch_Bay_Uplift,5.01721896644,-122.812870256,48.8740460964,11.8339913928
23,23,Birch_Bay_Uplift,4.72390412446,-122.702023706,48.8687825979,14.3159239772
24,24,Birch_Bay_Uplift,4.62243571779,-122.543974675,48.8599833728,7.67722761276
25,25,Birch_Bay_Uplift,4.6035259085,-122.59829601,48.8341563255,12.8425962844
26,26,Birch_Bay_Uplift,4.52028710558,-122.465449487,48.7653246868,9.95477208395
27,27,Birch_Bay_Uplift,4.52388931177,-122.964588898,48.7774006324,14.5866761541
28,28,Birch_Bay_Uplift,4.51221580812,-122.913688802,48.9704107977,6.25957669397
29,29,Birch_Bay_Uplift,4.51388495568,-123.032360434,48.9596990234,13.1340386694
30,30,Birch_Bay_Uplift,5.15339979484,-123.401139261,48.8410318199,6.96432568613
31,31,Birch_Bay_Uplift,4.55952513057,-122.829005964,48.9279764089,8.45828900984
32,32,Birch_Bay_Uplift,4.71592564359,-123.193129053,48.954562752,7.49935680518
33,33,Birch_Bay_Uplift,4.52976439575,-122.61041681,48.6247016816,6.9254044779
34,34,Birch_Bay_Uplift,4.69622640124,-122.81827315,48.9229538216,17.211375225
35,35,Birch_Bay_Uplift,5.33077227814,-122.798510319,48.9353918388,8.57132108257
36,36,Birch_Bay_Uplift,4.78031085247,-123.133826582,48.8884887978,18.8339805098
37,37,Birch_Bay_Uplift,4.91800478922,-123.39663595,49.0193243283,19.5188244055
38,38,Birch_Bay_Uplift,5.18047918719,-123.485027656,48.9471046665,13.140167519
39,39,Birch_Bay_Uplift,4.62255008931,-123.114354045,48.7710312534,6.28801796265
40,40,Birch_Bay_Uplift,5.11489816735,-123.335930194,49.0577603154,9.99277189407
41,41,Birch_Bay_Uplift,5.13943012369,-122.867915671,48.7863309451,16.7637162136
42,42,Birch_Bay_Uplift,4.99361431126,-122.574042028,48.7387055278,9.87825165915
43,43,Birch_Bay_Uplift,4.87815652277,-122.50829347,48.8468995841,5.39227549284
44,44,Birch_Bay_Uplift,4.76043401857,-122.818044376,48.7580357411,12.9085585749
45,45,Birch_Bay_Uplift,5.02052997144,-123.250001112,48.992909105,17.5219336239
46,46,Birch_Bay_Uplift,4.76400406984,-122.585024644,48.7480167497,16.7348221943
47,47,Birch_Bay_Uplift,4.75959736584,-122.498503068,48.8588499184,6.80197024209
48,48,Birch_Bay_Uplift,5.16138600763,-123.298146636,48.9386327239,14.7642338306
