event_id,rup_id,year,rlzi,structural
0,0,0,0,3.30701E+08
1,0,0,0,1.00628E+08
2,0,0,0,3.40440E+09
3,0,0,0,4.68191E+09
4,0,0,0,1.46259E+07
5,0,0,0,3.10762E+09
6,0,0,0,6.85689E+08
7,0,0,0,1.12697E+07
8,0,0,0,7.20027E+06
9,0,0,0,1.72908E+08
10,0,0,0,3.29990E+09
11,0,0,0,1.86107E+08
12,0,0,0,5.78934E+09
13,0,0,0,3.69910E+09
14,0,0,0,2.13912E+08
15,0,0,0,6.12162E+09
16,0,0,0,1.46208E+08
17,0,0,0,1.02093E+10
18,0,0,0,6.22043E+07
19,0,0,0,1.63070E+07
20,0,0,0,5.42228E+09
21,0,0,0,3.40458E+09
22,0,0,0,9.27767E+09
23,0,0,0,4.31451E+07
24,0,0,0,1.01810E+09
25,0,0,0,5.51177E+07
26,0,0,0,2.04809E+08
