tag,structural
"taxonomy=C2L-LC",7.92399E+07
"taxonomy=C2L-MC",1.04451E+09
"taxonomy=C2L-PC",7.38075E+08
"taxonomy=C3L-LC",3.11688E+07
"taxonomy=C3L-PC",4.18764E+08
"taxonomy=MH-LC",1.79254E+08
"taxonomy=MH-MC",6.26093E+09
"taxonomy=MH-PC",1.62196E+09
"taxonomy=RM1L-LC",1.68451E+08
"taxonomy=RM1L-MC",2.14620E+09
"taxonomy=RM1L-PC",1.22890E+09
"taxonomy=S1L-LC",2.82357E+06
"taxonomy=S1L-MC",1.54385E+08
"taxonomy=S1L-PC",5.25764E+07
"taxonomy=S2L-LC",0.00000E+00
"taxonomy=S2L-MC",3.64177E+07
"taxonomy=S2L-PC",0.00000E+00
"taxonomy=S3-LC",2.46955E+07
"taxonomy=S3-MC",2.58762E+08
"taxonomy=S3-PC",1.56662E+08
"taxonomy=S4L-LC",2.44656E+06
"taxonomy=S4L-MC",1.48891E+08
"taxonomy=S4L-PC",2.74574E+07
"taxonomy=W1-LC",2.30883E+09
"taxonomy=W1-MC",2.61498E+10
"taxonomy=W1-PC",1.84455E+10
