eid,event,mag,lon,lat,depth
0,SFZ_EQ_V,6.7314958913311225,-122.376293459,47.5437281991,10.3366188527
1,Birch_Bay_Uplift,6.888393971823891,-122.973765046,48.8426852838,9.89949495322
2,TFZ_EQ,7.10285835495405,-122.627358822,47.4406449273,9.82982452149
3,sandypt_eqA,6.94826475215001,-123.057573898,48.7790267326,9.89949495322
4,Utsalady_EQ2,6.552614139835013,-122.606359488,48.3508932008,10.3923048308
5,SWIF_EQ2,7.323320192661912,-122.549897867,47.9567002424,10.3923048308
6,SFZ_EQ_B,6.870640022869666,-122.376278575,47.5437279771,10.3366188527
7,kendall_EQB,6.52214606927538,-122.001308157,48.8316290467,9.89949495322
8,smf_E1,7.111979671430371,-123.457639911,47.43053959,10.1255534104
9,smf_E3,7.040799166851572,-123.20537261,47.5108660171,10.1255534104
10,VasaParkEQ,7.011750749198023,-122.370980217,47.390093045,10.082536366
11,RSC5_Death,7.082923830450921,-123.040692592,46.9783410213,9.89949495322
12,DDMFZ_EQ1,7.291294352800728,-122.485690496,48.4232776556,10.3923048308
13,smf_E2,6.799908194559188,-123.207610567,47.5107378349,10.1255534104
14,West_Point_Sewer_Log_Death,7.711059374092757,-122.378079601,47.4885475568,9.89949495322
15,kendall_EQC,6.439627208113205,-122.001308157,48.8316290467,9.89949495322
16,crane_lake_eq_1,6.822073776029807,-122.475853016,47.5550518158,10.3366188527
17,kendall_eqA,6.556127704963336,-122.001308157,48.8316290467,9.89949495322
18,Sandy_Point_EQ_C,6.096222048766558,-122.761510582,48.718338951,9.89949495322
19,sandypt_eqB,6.159994413287706,-122.761510582,48.718338951,9.89949495322
20,Utsalady_EQ1,6.628767193152112,-122.606359488,48.3508932008,10.3923048308
21,SWIF_EQ1,7.257344989184634,-122.557555533,47.9506384355,9.82982452149
22,crane_lake_eq_2,6.714995118427567,-122.475853016,47.5550518158,10.3366188527
23,SFZ_EQ_A,6.711234819228006,-122.486679575,47.5000063931,9.89949495322
24,LCBC_EQ3,6.553481990871103,-123.479190697,48.1139435318,9.82982452149
25,SFZ_EQE,6.770765700663405,-122.345698659,47.4389916387,9.75079942144
26,frigid_EQ_1,6.318580644436616,-123.259852376,47.4380936197,9.96938564803
