USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
WA	53001	01531601	Adams County	4985663377	12499935	    1924.975	       4.826	 47.011238	-118.512861                                                                                                     
WA	53003	01533502	Asotin County	1647443944	11275706	     636.082	       4.354	 46.181861	-117.227781                                                                                                    
WA	53005	01513302	Benton County	4402476320	155126966	    1699.806	      59.895	 46.228125	-119.516659                                                                                                   
WA	53007	01531932	Chelan County	7565816081	189652330	    2921.178	      73.225	 47.860974	-120.619041                                                                                                   
WA	53009	01531341	Clallam County	4503153139	2413877536	    1738.677	     932.003	 48.110903	-123.889860                                                                                                 
WA	53011	01531820	Clark County	1627604459	70388546	     628.422	      27.177	 45.771674	-122.485903                                                                                                     
WA	53013	01513273	Columbia County	2249624737	12561762	     868.585	       4.850	 46.292850	-117.911634                                                                                                  
WA	53015	01529156	Cowlitz County	2953717906	67323174	    1140.437	      25.994	 46.196785	-122.678460                                                                                                   
WA	53017	01531818	Douglas County	4711869328	76474717	    1819.263	      29.527	 47.741763	-119.694622                                                                                                   
WA	53019	01531821	Ferry County	5706360691	140294376	    2203.238	      54.168	 48.473256	-118.533589                                                                                                    
WA	53021	01531822	Franklin County	3215718028	60509349	    1241.596	      23.363	 46.534580	-118.906944                                                                                                  
WA	53023	01533500	Garfield County	1841054914	19294817	     710.835	       7.450	 46.429478	-117.536711                                                                                                  
WA	53025	01531924	Grant County	6939865658	289949704	    2679.497	     111.950	 47.213633	-119.467788                                                                                                    
WA	53027	01531823	Grays Harbor County	4924343587	834767915	    1901.300	     322.306	 47.113999	-123.826655                                                                                             
WA	53029	01513272	Island County	539622439	800242041	     208.349	     308.975	 48.158554	-122.670649                                                                                                    
WA	53031	01531936	Jefferson County	4671790710	994835539	    1803.789	     384.108	 47.805346	-123.527136                                                                                                
WA	53033	01531933	King County	5479358152	496938646	    2115.592	     191.869	 47.490599	-121.833996                                                                                                     
WA	53035	01529223	Kitsap County	1023380594	442123819	     395.129	     170.705	 47.639687	-122.649636                                                                                                   
WA	53037	01531926	Kittitas County	5949981163	92431795	    2297.301	      35.688	 47.124444	-120.676714                                                                                                  
WA	53039	01529219	Klickitat County	4847516018	84930621	    1871.636	      32.792	 45.870446	-120.779305                                                                                                 
WA	53041	01531927	Lewis County	6223242260	86862888	    2402.807	      33.538	 46.580071	-122.377444                                                                                                     
WA	53043	01514052	Lincoln County	5984258955	75428245	    2310.535	      29.123	 47.582743	-118.417692                                                                                                   
WA	53045	01529221	Mason County	2484806996	237381766	     959.389	      91.654	 47.354126	-123.173850                                                                                                    
WA	53047	01531928	Okanogan County	13639258855	120536293	    5266.148	      46.539	 48.551386	-119.685877                                                                                                
WA	53049	01513274	Pacific County	2415875255	760842647	     932.775	     293.763	 46.556587	-123.782419                                                                                                  
WA	53051	01529157	Pend Oreille County	3626630102	65388389	    1400.250	      25.247	 48.543825	-117.232191                                                                                              
WA	53053	01529159	Pierce County	4321389830	354692944	    1668.498	     136.948	 47.051415	-122.153242                                                                                                   
WA	53055	01531931	San Juan County	450428674	1157428261	     173.911	     446.886	 48.507190	-123.103769                                                                                                 
WA	53057	01531402	Skagit County	4481039429	484059449	    1730.139	     186.896	 48.493292	-121.815770                                                                                                   
WA	53059	01529220	Skamania County	4294875667	73344946	    1658.261	      28.319	 46.024782	-121.953227                                                                                                  
WA	53061	01529222	Snohomish County	5404201031	282769956	    2086.574	     109.178	 48.054913	-121.766412                                                                                                
WA	53063	01529225	Spokane County	4568578482	43315180	    1763.938	      16.724	 47.620375	-117.403371                                                                                                   
WA	53065	01531930	Stevens County	6416413110	163008888	    2477.391	      62.938	 48.388727	-117.854454                                                                                                  
WA	53067	01529226	Thurston County	1871151578	133733459	     722.456	      51.635	 46.935822	-122.830152                                                                                                 
WA	53069	01513275	Wahkiakum County	680956787	61588406	     262.919	      23.779	 46.294638	-123.424458                                                                                                  
WA	53071	01531819	Walla Walla County	3289366722	74935920	    1270.032	      28.933	 46.254606	-118.480374                                                                                               
WA	53073	01529224	Whatcom County	5459395531	1028184731	    2107.884	     396.984	 48.842653	-121.836432                                                                                                 
WA	53075	01533501	Whitman County	5592428647	48281266	    2159.249	      18.642	 46.905944	-117.535390                                                                                                   
WA	53077	01531929	Yakima County	11122757385	41168171	    4294.521	      15.895	 46.456558	-120.740145                                                                                                   
