USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
WA	53001950100	1615245626	7701924	     623.650	       2.974	 47.1508088	-118.3988155                                                                                                                    
WA	53001950200	2629320225	2183963	    1015.186	       0.843	 46.9252695	-118.5092655                                                                                                                    
WA	53001950300	725289096	2614048	     280.036	       1.009	 46.8328914	-119.1181312                                                                                                                     
WA	53001950400	3422470	0	       1.321	       0.000	 46.8324166	-119.1664555                                                                                                                             
WA	53001950500	12385960	0	       4.782	       0.000	 46.8105682	-119.1599135                                                                                                                            
WA	53003960100	1340244511	8191372	     517.471	       3.163	 46.1474746	-117.1964025                                                                                                                    
WA	53003960200	294895316	2335724	     113.860	       0.902	 46.3442652	-117.3012796                                                                                                                     
WA	53003960300	3965973	645102	       1.531	       0.249	 46.4190278	-117.0501391                                                                                                                        
WA	53003960400	1586749	0	       0.613	       0.000	 46.4127102	-117.0673121                                                                                                                             
WA	53003960500	1850893	0	       0.715	       0.000	 46.4061367	-117.0499947                                                                                                                             
WA	53003960600	4900502	103508	       1.892	       0.040	 46.3949655	-117.0631243                                                                                                                        
WA	53005010100	6310337	4195878	       2.436	       1.620	 46.3162074	-119.2644955                                                                                                                       
WA	53005010201	43518120	1114736	      16.802	       0.430	 46.3306489	-119.3359909                                                                                                                      
WA	53005010202	5224160	0	       2.017	       0.000	 46.3226088	-119.2785281                                                                                                                             
WA	53005010300	5729071	393323	       2.212	       0.152	 46.2865938	-119.3089064                                                                                                                        
WA	53005010400	1502237	0	       0.580	       0.000	 46.2814887	-119.2938376                                                                                                                             
WA	53005010500	2603015	0	       1.005	       0.000	 46.2841983	-119.2819000                                                                                                                             
WA	53005010600	7775309	1878399	       3.002	       0.725	 46.2600123	-119.2649214                                                                                                                       
WA	53005010701	36844216	475406	      14.226	       0.184	 46.2893195	-119.4523124                                                                                                                       
WA	53005010703	49114056	1572460	      18.963	       0.607	 46.3387302	-119.4122885                                                                                                                      
WA	53005010705	7378308	80872	       2.849	       0.031	 46.2735069	-119.3400146                                                                                                                         
WA	53005010707	5577447	0	       2.153	       0.000	 46.2759470	-119.3701439                                                                                                                             
WA	53005010708	8534398	139997	       3.295	       0.054	 46.2933833	-119.3658597                                                                                                                        
WA	53005010803	11436961	382590	       4.416	       0.148	 46.2447987	-119.3039228                                                                                                                       
WA	53005010805	10904799	2124981	       4.210	       0.820	 46.2455725	-119.2587388                                                                                                                      
WA	53005010807	97510066	0	      37.649	       0.000	 46.2051532	-119.4105517                                                                                                                            
WA	53005010809	3829917	0	       1.479	       0.000	 46.2218647	-119.2355589                                                                                                                             
WA	53005010810	5949349	0	       2.297	       0.000	 46.2116469	-119.2604788                                                                                                                             
WA	53005010811	23153005	0	       8.939	       0.000	 46.2207537	-119.3137251                                                                                                                            
WA	53005010813	20455355	0	       7.898	       0.000	 46.1916269	-119.2196200                                                                                                                            
WA	53005010814	94977452	0	      36.671	       0.000	 46.1645216	-119.3107329                                                                                                                            
WA	53005010901	7353743	382801	       2.839	       0.148	 46.2191229	-119.2093445                                                                                                                        
WA	53005010902	2563578	0	       0.990	       0.000	 46.2062577	-119.1912849                                                                                                                             
WA	53005011001	4338943	1392865	       1.675	       0.538	 46.2220491	-119.1653027                                                                                                                       
WA	53005011002	2963049	0	       1.144	       0.000	 46.2041758	-119.1694510                                                                                                                             
WA	53005011100	5167030	0	       1.995	       0.000	 46.1971927	-119.1489901                                                                                                                             
WA	53005011200	2515324	0	       0.971	       0.000	 46.2045550	-119.1330505                                                                                                                             
WA	53005011300	5251947	1791651	       2.028	       0.692	 46.2088971	-119.1124925                                                                                                                       
WA	53005011401	2295638	0	       0.886	       0.000	 46.1944776	-119.1192775                                                                                                                             
WA	53005011402	7313001	37468	       2.824	       0.014	 46.1798820	-119.1156189                                                                                                                         
WA	53005011501	52904623	17020218	      20.427	       6.572	 46.1426002	-119.0203912                                                                                                                     
WA	53005011503	84705131	0	      32.705	       0.000	 46.1273102	-119.1328938                                                                                                                            
WA	53005011504	13258241	0	       5.119	       0.000	 46.1544601	-119.0924953                                                                                                                            
WA	53005011600	1546087432	90837485	     596.948	      35.073	 45.9981564	-119.4876321                                                                                                                   
WA	53005011700	35165002	679380	      13.577	       0.262	 46.2045749	-119.7672865                                                                                                                       
WA	53005011800	876660227	3248203	     338.480	       1.254	 46.2988662	-119.7162676                                                                                                                     
WA	53005011900	165136758	1018779	      63.760	       0.393	 46.3234455	-119.5823476                                                                                                                     
WA	53005012000	1140469075	26359474	     440.338	      10.177	 46.5121696	-119.5581728                                                                                                                   
WA	53007960100	3050053416	86385363	    1177.632	      33.354	 48.0774396	-120.5179641                                                                                                                   
WA	53007960200	2545988930	20462475	     983.012	       7.901	 47.8027874	-120.8977173                                                                                                                   
WA	53007960300	454608521	47663141	     175.525	      18.403	 47.9167108	-120.2588736                                                                                                                    
WA	53007960400	136925807	19186598	      52.867	       7.408	 47.9329418	-120.1070751                                                                                                                    
WA	53007960500	830733820	1548739	     320.748	       0.598	 47.4702971	-120.5755743                                                                                                                     
