eid,aid,mainshock,mag,lon,lat,depth
0,0,TFZ_EQ,7.10285835495405,-122.627358822,47.4406449273,9.82982452149
1,1,TFZ_EQ,4.50247162137,-122.281267887,47.4211414902,16.7679685635
2,2,TFZ_EQ,4.74048944144,-122.87768554,47.466160499,15.8167368544
3,3,TFZ_EQ,5.00397935085,-122.934296722,47.4647611777,5.02071290006
4,4,TFZ_EQ,5.60690269567,-122.344661735,47.388482416,10.1955702594
5,5,TFZ_EQ,4.81821010789,-122.564320754,47.3866967897,8.52424731296
6,6,TFZ_EQ,4.59111828607,-122.333756328,47.3309038806,8.87184678966
7,7,TFZ_EQ,4.94430800786,-122.818045392,47.4042019042,19.7271500729
8,8,TFZ_EQ,5.51048466763,-122.663425758,47.3340658548,14.2844386157
9,9,TFZ_EQ,4.56383974957,-122.751068439,47.5180745497,15.4828185247
10,10,TFZ_EQ,5.05624221181,-122.350905166,47.5647286346,19.625882197
11,11,TFZ_EQ,4.52591135666,-122.363445856,47.567501008,10.0352285193
12,12,TFZ_EQ,5.17380667468,-122.2327163,47.5355812813,16.8294426952
13,13,TFZ_EQ,4.8795654135,-122.462971881,47.4680112688,10.9524954129
14,14,TFZ_EQ,4.71493863022,-122.681865562,47.4992594582,17.912538749
15,15,TFZ_EQ,4.98946961121,-122.943484104,47.382381776,6.89052066098
16,16,TFZ_EQ,4.99637820634,-122.78070041,47.4804930972,19.162978833
17,17,TFZ_EQ,5.13350192754,-122.567883643,47.4270311984,7.50034733457
18,18,TFZ_EQ,4.75652590091,-123.011469382,47.4394791155,9.21952811169
19,19,TFZ_EQ,5.30363019511,-122.826696094,47.5165111456,16.0990757457
20,20,TFZ_EQ,4.8448985462,-122.987307732,47.3818708637,10.300082265
21,21,TFZ_EQ,4.71425880237,-122.654802827,47.3885126374,13.7313820283
22,22,TFZ_EQ,4.69228838763,-122.40441091,47.5490219994,11.1131760171
23,23,TFZ_EQ,4.59080769036,-122.256257387,47.3190977381,15.8779189934
24,24,TFZ_EQ,4.58161715498,-122.834481975,47.4388531448,7.6533000379
25,25,TFZ_EQ,4.5835177614,-122.295486382,47.5452237481,4.93532779579
26,26,TFZ_EQ,5.62535293149,-122.445585004,47.4705357274,8.79887035957
27,27,TFZ_EQ,4.63815822776,-122.657638388,47.4546908427,11.5889386379
