USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WA,53057940200,3252714,1958597,1.256,0.756,48.4914593,-122.6764336
WA,53057940300,48978493,6445362,18.911,2.489,48.4541014,-122.6039283
WA,53057940400,11758010,2893741,4.54,1.117,48.4925951,-122.6505784
WA,53057940500,1429493,0,0.552,0,48.4954058,-122.6166087
WA,53057940600,2600685,6322871,1.004,2.441,48.4990914,-122.6038281
WA,53057940700,1449913,309443,0.56,0.119,48.5139077,-122.6243039
WA,53057940800,30854608,5314608,11.913,2.052,48.4154021,-122.5363955
WA,53057950100,59047565,6089092,22.798,2.351,48.5393004,-122.6359788
WA,53057950800,190358722,4982875,73.498,1.924,48.5766605,-122.3897018
WA,53057950900,161829014,1483190,62.483,0.573,48.5964247,-122.1712922
WA,53057951000,368177924,6114121,142.154,2.361,48.5742015,-121.9747479
WA,53057951100,2338804867,26160482,903.018,10.101,48.499449,-121.329368
WA,53057951200,758886971,6393987,293.008,2.469,48.3838788,-121.9535401
WA,53057951300,61386470,3761686,23.701,1.452,48.4587893,-122.1993304
WA,53057951400,9837572,480607,3.798,0.186,48.4943421,-122.2411983
WA,53057951500,23175876,14953,8.948,0.006,48.5208123,-122.2464752
WA,53057951600,33611544,506151,12.977,0.195,48.5108524,-122.3163599
WA,53057951700,3151593,232845,1.217,0.09,48.467183,-122.3221375
WA,53057951800,10220612,322748,3.946,0.125,48.4662776,-122.3422279
WA,53057951900,58419612,3404663,22.556,1.315,48.470285,-122.4291068
WA,53057952100,84892839,3459340,32.777,1.336,48.4045311,-122.4384327
WA,53057952200,7064546,613470,2.728,0.237,48.43986,-122.3421913
WA,53057952301,2585305,0,0.998,0,48.4355457,-122.3025868
WA,53057952302,13698403,1012205,5.289,0.391,48.448413,-122.2834395
WA,53057952401,1812826,0,0.7,0,48.413217,-122.3266506
WA,53057952402,11750943,0,4.537,0,48.4070911,-122.2832995
WA,53057952500,1809496,187501,0.699,0.072,48.4170171,-122.3390553
WA,53057952600,16953690,1107502,6.546,0.428,48.4045055,-122.3413895
WA,53057952700,163239123,4506097,63.027,1.74,48.3413721,-122.3039518
WA,53057990100,0,389981312,0,150.573,48.5584748,-122.6679393
WA,53053061001,2870699,1716730,1.108,0.663,47.253948,-122.5485229
WA,53053061002,3010248,8198,1.162,0.003,47.2462062,-122.5223595
WA,53053061100,4353844,41555,1.681,0.016,47.2455764,-122.4936719
WA,53053061200,1890514,0,0.73,0,47.2490842,-122.4745331
WA,53053061300,1574642,0,0.608,0,47.2500153,-122.4589966
WA,53053061400,926850,0,0.358,0,47.2502435,-122.4483264
WA,53053061500,1171497,0,0.452,0,47.2621959,-122.4494502
WA,53053061601,761485,0,0.294,0,47.2542281,-122.4402346
WA,53053061602,1057275,0,0.408,0,47.2401479,-122.4377427
WA,53053061700,2640029,5766,1.019,0.002,47.237848,-122.4584513
WA,53053061800,1383818,0,0.534,0,47.2267871,-122.4518338
WA,53053061900,1039865,0,0.401,0,47.2276734,-122.4341708
WA,53061040100,4798188,4113637,1.853,1.588,48.00415,-122.2197294
WA,53061040200,2565819,433768,0.991,0.167,48.0027689,-122.1870338
WA,53061040300,1049264,0,0.405,0,47.9941342,-122.2000385
WA,53061040400,1703150,725332,0.658,0.28,47.9855126,-122.2166169
WA,53061040500,1802593,205596,0.696,0.079,47.9849396,-122.1815113
WA,53061040700,2806752,98891,1.084,0.038,47.9731875,-122.1971281
WA,53061040800,1439692,1525964,0.556,0.589,47.9780755,-122.2204
WA,53061040900,3310569,1063926,1.278,0.411,47.9601341,-122.23608
WA,53061041000,3072037,0,1.186,0,47.960184,-122.2135269
WA,53061041100,2719583,6510,1.05,0.003,47.9446678,-122.2205239
WA,53061041201,1485818,0,0.574,0,47.9447703,-122.235622
WA,53061041202,2650628,44326,1.023,0.017,47.9282413,-122.2252643
WA,53061041301,4718357,1559795,1.822,0.602,47.9331011,-122.3015587
WA,53061041303,3800669,0,1.467,0,47.940822,-122.2465469
WA,53061041304,10193865,1077369,3.936,0.416,47.9448887,-122.2664436
WA,53061041400,3323591,0,1.283,0,47.9417409,-122.2038365
WA,53061041500,5425482,239568,2.095,0.092,47.9358943,-122.1869829
WA,53061041601,4672495,0,1.804,0,47.9162062,-122.1932792
WA,53061041605,2462209,9609,0.951,0.004,47.9010872,-122.1958154
WA,53061041606,2525927,45367,0.975,0.018,47.8857346,-122.1969528
WA,53061041607,2915655,0,1.126,0,47.8983789,-122.1734933
WA,53061041608,3769233,0,1.455,0,47.8860202,-122.1686508
WA,53061041701,2963219,401753,1.144,0.155,47.8899399,-122.2149774
WA,53061041703,3698002,236620,1.428,0.091,47.8599737,-122.2400339
WA,53061041704,4037892,0,1.559,0,47.8673814,-122.225181
WA,53061041805,3323438,0,1.283,0,47.9140187,-122.2227026
WA,53061041806,2844372,0,1.098,0,47.9016434,-122.2302099
WA,53061041808,1690139,0,0.653,0,47.8907825,-122.2308971
WA,53061041809,1079258,0,0.417,0,47.8917497,-122.2455166
WA,53061041810,893332,0,0.345,0,47.8860716,-122.2490656
WA,53061041811,3281569,98005,1.267,0.038,47.870649,-122.251008
WA,53061041812,1869425,0,0.722,0,47.8750641,-122.2668834
WA,53061041901,8847184,0,3.416,0,47.901657,-122.2789279
WA,53061041903,3410938,0,1.317,0,47.9153115,-122.2579258
WA,53061041904,1429898,0,0.552,0,47.916772,-122.2388771
WA,53061041905,2227002,0,0.86,0,47.9014135,-122.2571911
WA,53061042001,4916665,1032627,1.898,0.399,47.9114849,-122.3146889
WA,53061042003,2759151,576283,1.065,0.223,47.867766,-122.3238457
WA,53061042004,2382614,153461,0.92,0.059,47.867725,-122.281908
WA,53061042005,6406549,789066,2.474,0.305,47.883155,-122.314033
WA,53061042006,2671334,0,1.031,0,47.8941034,-122.2989299
WA,53061050101,2562203,200462,0.989,0.077,47.8604059,-122.3236643
WA,53061050102,1805957,0,0.697,0,47.8581251,-122.295589
WA,53061050200,4533341,1271104,1.75,0.491,47.844678,-122.3375808
WA,53061050300,3727448,880998,1.439,0.34,47.8281986,-122.3577383
WA,53061050401,3333906,0,1.287,0,47.8147459,-122.3495558
WA,53061050402,2845354,0,1.099,0,47.8043944,-122.3499284
WA,53061050500,3398342,620460,1.312,0.24,47.8066452,-122.3782361
WA,53061050600,3194806,1012328,1.234,0.391,47.7881057,-122.3881006
WA,53061050700,3094952,0,1.195,0,47.784649,-122.3651045
WA,53061050800,3193201,2376,1.233,0.001,47.793236,-122.3490897
WA,53061050900,1495330,131551,0.577,0.051,47.7859889,-122.337135
WA,53061051000,3342840,275673,1.291,0.106,47.7926729,-122.3232196
WA,53061051100,2057573,0,0.794,0,47.7839904,-122.3071252
WA,53061051200,2100184,0,0.811,0,47.7978124,-122.3058174
WA,53061051300,2935606,0,1.133,0,47.7923832,-122.2913003
WA,53061051400,4002334,34278,1.545,0.013,47.8129269,-122.3065992
WA,53061051500,3285566,0,1.269,0,47.8207658,-122.3264368
WA,53061051601,2446727,0,0.945,0,47.8448125,-122.3092787
WA,53061051602,2051437,0,0.792,0,47.834005,-122.3155946
WA,53061051701,2491487,0,0.962,0,47.8299717,-122.2999364
WA,53061051702,2167086,0,0.837,0,47.8312065,-122.2863838
WA,53061051802,5005395,0,1.933,0,47.839613,-122.2735752
WA,53061051803,1597958,0,0.617,0,47.8562368,-122.2815196
WA,53061051804,2355488,0,0.909,0,47.8572221,-122.2638368
WA,53061051905,5282313,0,2.04,0,47.8160561,-122.2709171
WA,53061051912,13271235,187053,5.124,0.072,47.7848794,-122.1062774
WA,53061051913,3961001,0,1.529,0,47.7999629,-122.268274
WA,53061051914,3439800,0,1.328,0,47.7843454,-122.2727035
WA,53061051915,4144039,0,1.6,0,47.8060371,-122.2466565
WA,53061051916,2788068,0,1.076,0,47.7997544,-122.2291906
WA,53061051917,2932940,0,1.132,0,47.7840394,-122.245169
WA,53061051918,4477555,0,1.729,0,47.7834467,-122.2143909
WA,53061051921,2453189,0,0.947,0,47.8208453,-122.2204838
WA,53061051922,3810087,0,1.471,0,47.8110567,-122.2248515
