GEOID10,INTPTLAT10,INTPTLON10
53033022006,+47.7043393,-122.1992667
53033032320,+47.7564769,-122.1244452
53033031703,+47.3716888,-122.1484314
53033031206,+47.3135621,-122.1835380
53033032102,+47.4851508,-121.9657840
53033032210,+47.5512023,-121.9640526
53033032211,+47.5798198,-122.0193627
53033032104,+47.5051267,-122.0531593
53033032313,+47.6705089,-122.0890118
53033032203,+47.5954699,-122.0694173
53033032703,+47.5143769,-121.8178721
53033032704,+47.4939904,-121.7716730
53033027300,+47.4780597,-122.2993280
53033027200,+47.4867948,-122.2813197
53033027100,+47.4920386,-122.2998447
53033027000,+47.4976819,-122.3219067
53033026802,+47.4983057,-122.3429643
53033026801,+47.5076338,-122.3433587
53033026700,+47.4962788,-122.3638054
53033026600,+47.5128460,-122.3632681
53033000800,+47.7112492,-122.2860821
53033000700,+47.7156893,-122.3018632
53033000600,+47.7180013,-122.3322129
53033000500,+47.7224094,-122.3710555
53033000402,+47.7168585,-122.3523664
53033000401,+47.7288710,-122.3509939
53033000300,+47.7305246,-122.3329227
53033000200,+47.7266401,-122.3099961
53033000100,+47.7238068,-122.2819279
53033990100,+47.5106478,-122.4154213
53033032500,+47.7019699,-121.8306143
53033031907,+47.4533052,-122.1305064
53033031800,+47.4085329,-122.1178196
53033032002,+47.4347894,-122.0315839
53033032003,+47.4405378,-121.9250546
53033031704,+47.3485371,-122.1448222
53033032005,+47.3704870,-122.0854653
53033032006,+47.3499202,-122.0803474
53033032207,+47.5819653,-122.0606739
53033021803,+47.7644157,-122.2144243
53033032602,+47.5354747,-121.8783150
53033032702,+47.4631730,-121.4975361
53033032800,+47.6526481,-121.4312963
53033026500,+47.5145478,-122.3380052
53033026400,+47.5091310,-122.3111776
53033026300,+47.5089631,-122.2889871
53033026200,+47.4591441,-122.2435898
53033026100,+47.4910723,-122.2500978
53033026001,+47.4990270,-122.2362315
53033021500,+47.7643848,-122.2737863
53033021400,+47.7507662,-122.2924491
53033021300,+47.7402939,-122.2869560
53033001702,+47.6965212,-122.3639488
53033004302,+47.6647406,-122.3035950
53033004301,+47.6694017,-122.3002220
53033007402,+47.6187608,-122.3244188
53033010002,+47.5765790,-122.3095727
53033010001,+47.5673069,-122.3043618
53033011002,+47.5404140,-122.2989097
53033010402,+47.5537876,-122.3102256
53033010702,+47.5468041,-122.3730302
53033011402,+47.5206654,-122.3646254
53033022605,+47.6914671,-122.1557444
53033022902,+47.6403935,-122.1022780
53033024602,+47.5326968,-122.2319773
53033025803,+47.4503896,-122.1784570
53033031601,+47.3312130,-122.0859477
53033031603,+47.3236418,-121.9918500
53033032103,+47.5390618,-122.0487975
53033025001,+47.5380627,-122.1693928
53033032401,+47.7463098,-121.9478877
53033032402,+47.7044428,-121.9517972
53033031501,+47.3188879,-121.8784572
53033021100,+47.7412054,-122.3128854
53033021000,+47.7396007,-122.3357847
53033020900,+47.7432786,-122.3639033
53033020800,+47.7569770,-122.3716178
53033020700,+47.7561636,-122.3473227
53033020600,+47.7560214,-122.3321002
53033020500,+47.7562524,-122.3138057
53033011401,+47.5297060,-122.3620280
53033025302,+47.4920143,-122.2153507
53033025806,+47.4550034,-122.2107374
53033027701,+47.4509608,-122.4764915
53033032326,+47.7007610,-122.0785848
53033032327,+47.7100617,-122.0434083
53033023404,+47.5669930,-122.0852255
53033023403,+47.5817847,-122.1151458
53033023804,+47.6132805,-122.1984660
53033023201,+47.6186062,-122.1375409
53033023900,+47.5830719,-122.2002301
53033032322,+47.7260040,-122.0978452
53033032321,+47.7179214,-122.1263246
53033021804,+47.7657027,-122.1963736
53033022101,+47.7417973,-122.2556683
53033025003,+47.5567201,-122.1081035
53033022701,+47.6536174,-122.2060589
53033032008,+47.3669213,-122.0495778
53033032208,+47.5604078,-122.0460114
53033020402,+47.7695100,-122.2970269
53033020401,+47.7708169,-122.3195413
53033020300,+47.7689986,-122.3417532
53033020200,+47.7716683,-122.3633594
53033020100,+47.7707111,-122.3873610
53033012100,+47.5075950,-122.3873799
53033023803,+47.6192542,-122.1978584
53033025006,+47.5269219,-122.0986860
53033025005,+47.5306823,-122.1466867
53033025602,+47.4777132,-122.1488815
53033029206,+47.4144378,-122.2433601
53033029102,+47.3799253,-122.2841053
53033029101,+47.3975237,-122.2794706
53033030006,+47.3240408,-122.3041391
53033030314,+47.3080955,-122.3236866
53033030313,+47.3002419,-122.3139509
53033031605,+47.3204617,-122.0465501
53033024100,+47.6426931,-122.2202683
53033022703,+47.6572912,-122.1758426
53033024200,+47.6330584,-122.2404977
53033022203,+47.7066987,-122.2253274
53033024800,+47.5743916,-122.1521009
53033024902,+47.5653697,-122.1337183
53033024903,+47.5508498,-122.1412595
53033025102,+47.4980982,-122.1407250
53033031903,+47.4821782,-122.1108710
53033031904,+47.4653650,-122.0628374
53033031906,+47.4362336,-122.0943157
53033031301,+47.2046996,-122.0589541
53033031100,+47.2909187,-122.1895001
53033031000,+47.2689535,-122.1862464
53033030902,+47.2657557,-122.2444934
53033030901,+47.2807120,-122.2531115
53033030802,+47.2860456,-122.2137235
53033030801,+47.2873666,-122.2352954
53033012000,+47.5129291,-122.3806808
53033011900,+47.5089452,-122.2517818
53033010900,+47.5425052,-122.3199752
53033010800,+47.5440342,-122.3498743
53033010600,+47.5476485,-122.3918719
53033010500,+47.5574406,-122.3855495
53033010300,+47.5541363,-122.2826390
53033031604,+47.3543883,-122.0322942
53033032011,+47.3691715,-122.0327857
53033031706,+47.3636938,-122.1170035
53033032215,+47.6062193,-121.9865085
53033032329,+47.6836608,-122.0297140
53033032328,+47.6641636,-122.0461287
53033001701,+47.6963619,-122.3544843
53033007401,+47.6229244,-122.3246584
53033032317,+47.6276169,-122.0479843
53033032315,+47.6679952,-121.9798462
53033032319,+47.7595596,-122.1476582
53033021906,+47.7423026,-122.1694451
53033021905,+47.7431697,-122.1814242
53033032307,+47.7580051,-122.0907595
53033032311,+47.7515039,-122.0387481
53033032324,+47.6855259,-122.1199830
53033022801,+47.6464310,-122.1532208
53033030700,+47.2971636,-122.2215689
53033030600,+47.3069144,-122.2074969
53033030504,+47.3211155,-122.2135048
53033030503,+47.3425849,-122.2130556
53033030501,+47.3272298,-122.2353245
53033030404,+47.2674240,-122.2759315
53033010200,+47.5540013,-122.2608175
53033010100,+47.5670447,-122.2751446
53033009900,+47.5789585,-122.3638568
53033009800,+47.5719546,-122.3830940
53033009702,+47.5719270,-122.3960103
53033009701,+47.5731929,-122.4101745
53033009600,+47.5899898,-122.3882351
53033010401,+47.5532039,-122.2956376
53033010701,+47.5450729,-122.3675013
