asset,lon,lat,taxonomy,number,structural,contents,area
53041971200-MH-PC,-122.72877,46.51267,MH-PC,42.4,2162,1083,42
53041971200-RM1L-PC,-122.72877,46.51267,RM1L-PC,1.6,358,179,3
53041971200-W1-PC,-122.72877,46.51267,W1-PC,78.9,15428,7715,124
53041971200-MH-LC,-122.72877,46.51267,MH-LC,122.5,6248,3130,122
53041971200-RM1L-LC,-122.72877,46.51267,RM1L-LC,4.5,1034,517,8
53041971200-W1-LC,-122.72877,46.51267,W1-LC,227.9,44579,22293,359
53041971200-C2L-MC,-122.72877,46.51267,C2L-MC,0.4,397,199,2
53041971200-MH-MC,-122.72877,46.51267,MH-MC,327.1,16683,8356,325
53041971200-RM1L-MC,-122.72877,46.51267,RM1L-MC,12.1,2760,1380,21
53041971200-W1-MC,-122.72877,46.51267,W1-MC,608.6,119027,59524,960
53017950500-MH-PC,-120.29082,47.41865,MH-PC,0.8,80,40,1
53017950500-W1-PC,-120.29082,47.41865,W1-PC,10.1,2021,1011,18
53017950500-C2L-LC,-120.29082,47.41865,C2L-LC,10.8,4625,2314,38
53017950500-C3L-LC,-120.29082,47.41865,C3L-LC,2.1,869,435,8
53017950500-MH-LC,-120.29082,47.41865,MH-LC,64.0,6046,3035,83
53017950500-RM1L-LC,-120.29082,47.41865,RM1L-LC,28.9,8769,4386,75
53017950500-S3-LC,-120.29082,47.41865,S3-LC,3.4,1398,700,12
53017950500-W1-LC,-120.29082,47.41865,W1-LC,770.1,153433,76743,1383
53065941000-C2L-PC,-118.04813,47.92910,C2L-PC,0.2,166,83,1
53065941000-MH-PC,-118.04813,47.92910,MH-PC,60.2,3131,1573,60
53065941000-RM1L-PC,-118.04813,47.92910,RM1L-PC,3.7,773,387,7
53065941000-W1-PC,-118.04813,47.92910,W1-PC,171.2,28381,14200,259
53065941000-C2L-LC,-118.04813,47.92910,C2L-LC,0.5,363,182,2
53065941000-MH-LC,-118.04813,47.92910,MH-LC,131.9,6861,3446,132
53065941000-RM1L-LC,-118.04813,47.92910,RM1L-LC,8.0,1694,848,14
53065941000-W1-LC,-118.04813,47.92910,W1-LC,375.1,62186,31114,567
53073010701-C2L-PC,-122.42484,48.88255,C2L-PC,0.3,184,92,1
53073010701-MH-PC,-122.42484,48.88255,MH-PC,54.3,2871,1440,55
53073010701-RM1L-PC,-122.42484,48.88255,RM1L-PC,5.8,1471,736,11
53073010701-W1-PC,-122.42484,48.88255,W1-PC,291.5,67729,33871,496
53073010701-C2L-LC,-122.42484,48.88255,C2L-LC,0.4,226,113,2
53073010701-MH-LC,-122.42484,48.88255,MH-LC,66.6,3526,1768,67
53073010701-RM1L-LC,-122.42484,48.88255,RM1L-LC,7.1,1807,904,13
53073010701-W1-LC,-122.42484,48.88255,W1-LC,358.0,83158,41587,609
53073010701-C2L-MC,-122.42484,48.88255,C2L-MC,1.3,678,340,5
53073010701-MH-MC,-122.42484,48.88255,MH-MC,200.2,10594,5313,202
53073010701-RM1L-MC,-122.42484,48.88255,RM1L-MC,21.3,5429,2715,39
53073010701-S3-MC,-122.42484,48.88255,S3-MC,0.3,183,91,1
53073010701-W1-MC,-122.42484,48.88255,W1-MC,1075.6,249874,124961,1829
53073010702-MH-PC,-122.31805,48.84211,MH-PC,15.2,808,405,15
53073010702-RM1L-PC,-122.31805,48.84211,RM1L-PC,2.1,629,315,4
53073010702-W1-PC,-122.31805,48.84211,W1-PC,105.5,28348,14175,190
53073010702-C2L-LC,-122.31805,48.84211,C2L-LC,0.3,202,101,1
53073010702-MH-LC,-122.31805,48.84211,MH-LC,37.2,1976,991,37
53073010702-RM1L-LC,-122.31805,48.84211,RM1L-LC,5.3,1538,769,10
53073010702-W1-LC,-122.31805,48.84211,W1-LC,258.0,69313,34660,464
53073010702-C2L-MC,-122.31805,48.84211,C2L-MC,1.1,723,362,4
53073010702-MH-MC,-122.31805,48.84211,MH-MC,133.0,7063,3540,134
53073010702-RM1L-MC,-122.31805,48.84211,RM1L-MC,18.8,5495,2748,36
53073010702-S3-MC,-122.31805,48.84211,S3-MC,0.3,154,77,1
53073010702-W1-MC,-122.31805,48.84211,W1-MC,922.1,247696,123860,1658
53053063200-C2L-PC,-122.43217,47.19899,C2L-PC,0.6,885,443,5
53053063200-MH-PC,-122.43217,47.19899,MH-PC,2.7,228,115,3
53053063200-RM1L-PC,-122.43217,47.19899,RM1L-PC,9.4,2654,1327,18
53053063200-W1-PC,-122.43217,47.19899,W1-PC,581.4,134959,67489,982
53053063200-C2L-LC,-122.43217,47.19899,C2L-LC,0.9,1436,718,7
53053063200-MH-LC,-122.43217,47.19899,MH-LC,4.3,370,187,5
53053063200-RM1L-LC,-122.43217,47.19899,RM1L-LC,15.2,4306,2153,29
53053063200-W1-LC,-122.43217,47.19899,W1-LC,943.1,218933,109483,1594
53053063200-C2L-MC,-122.43217,47.19899,C2L-MC,0.3,489,245,2
53053063200-MH-MC,-122.43217,47.19899,MH-MC,1.5,126,64,2
53053063200-RM1L-MC,-122.43217,47.19899,RM1L-MC,5.2,1466,733,10
53053063200-W1-MC,-122.43217,47.19899,W1-MC,321.1,74549,37280,543
