event_id,rup_id,year,rlzi,structural
0,0,0,0,3.30701E+08
1,0,0,0,7.95098E+06
2,0,0,0,2.53587E+05
3,0,0,0,1.41926E+07
5,0,0,0,3.29730E+06
6,0,0,0,4.50637E+04
7,0,0,0,2.69204E+05
9,0,0,0,2.37432E+06
13,0,0,0,2.27128E+04
14,0,0,0,1.09365E+05
17,0,0,0,6.08098E+06
18,0,0,0,6.52349E+05
21,0,0,0,2.01810E+05
23,0,0,0,5.86228E+06
26,0,0,0,1.96570E+06
27,0,0,0,1.34830E+04
30,0,0,0,1.12244E+07
33,0,0,0,3.56410E+05
34,0,0,0,2.24211E+05
35,0,0,0,2.29565E+05
36,0,0,0,2.49261E+07
38,0,0,0,1.88091E+05
39,0,0,0,5.82599E+05
43,0,0,0,3.53633E+06
44,0,0,0,2.22232E+04
51,0,0,0,5.73986E+05
54,0,0,0,3.26180E+04
55,0,0,0,8.50132E+03
59,0,0,0,1.33107E+06
60,0,0,0,8.58649E+03
61,0,0,0,4.24105E+05
66,0,0,0,8.42665E+04
67,0,0,0,2.30228E+04
73,0,0,0,1.00628E+08
76,0,0,0,8.85889E+03
78,0,0,0,2.16368E+04
81,0,0,0,1.85143E+04
82,0,0,0,3.98496E+04
85,0,0,0,2.42742E+05
89,0,0,0,1.04488E+04
92,0,0,0,4.30581E+04
93,0,0,0,2.53981E+05
96,0,0,0,2.46389E+05
99,0,0,0,8.87636E+03
101,0,0,0,1.62999E+05
104,0,0,0,9.19989E+05
105,0,0,0,1.04932E+04
106,0,0,0,4.30782E+04
107,0,0,0,5.85965E+03
112,0,0,0,1.34062E+05
113,0,0,0,3.65847E+05
114,0,0,0,1.14326E+06
115,0,0,0,2.80207E+05
122,0,0,0,1.09227E+05
124,0,0,0,1.74620E+05
129,0,0,0,7.01771E+03
130,0,0,0,6.29092E+03
133,0,0,0,1.56844E+04
134,0,0,0,8.39883E+05
136,0,0,0,5.64427E+06
142,0,0,0,2.28504E+04
144,0,0,0,4.24804E+05
146,0,0,0,1.45541E+04
148,0,0,0,1.35251E+04
150,0,0,0,4.73803E+04
151,0,0,0,6.38192E+04
153,0,0,0,1.23401E+04
154,0,0,0,1.35383E+05
156,0,0,0,6.60140E+06
157,0,0,0,1.15277E+05
158,0,0,0,2.92173E+04
163,0,0,0,1.09605E+04
164,0,0,0,2.60963E+05
165,0,0,0,1.24735E+05
166,0,0,0,9.42366E+03
169,0,0,0,3.52354E+04
172,0,0,0,3.03050E+05
173,0,0,0,5.48818E+03
175,0,0,0,7.67846E+05
